Native compositor paint,Procedural canvas redraw,foreignObject clone → SVG → canvas
"**[html-in-canvas](https://github.com/WICG/html-in-canvas)**
<br>
★3,632 · WICG spec · `drawElementImage()`
<br>
Lets you draw DOM directly onto canvas, requires Chrome flag to be on to activate","**[html2canvas](https://github.com/niklasvh/html2canvas)**
<br>
★31,878 · clones DOM and computed styles, redraws with canvas commands","**[html-to-image](https://github.com/bubkoo/html-to-image)**
<br>
★7,166 · serializes clone as SVG"
,"**[html2canvas-pro](https://github.com/yorickshan/html2canvas-pro)**
<br>
★522 · maintained fork","**[SnapDOM ← shipped](https://github.com/zumerlab/snapdom)**
<br>
★7,848 · optimized foreignObject path + plugins"
